N,P,K,temperature,humidity,ph,rainfall,label
86,23,30,26.56,65.35,6.29,158.59,coffee
28,40,22,27.74,91.29,6.66,47.65,mungbean
38,46,53,20.97,62.83,6.88,64.57,onion
88,67,29,12.03,58.85,7.22,88.23,barley
54,57,48,25.5,61.87,6.29,69.13,tomato
85,47,30,15.54,59.97,6.09,75.19,maize
26,73,24,25.1,49.36,5.82,109.89,pigeonpeas
40,45,35,21.36,39.95,6.48,33.73,sunflower
53,61,60,22.06,74.44,5.95,89.3,potato
19,7,34,26.55,94.76,6.14,186.63,coconut
34,43,17,32.53,57.12,6.02,75.17,groundnut
12,44,14,30.08,88.58,5.81,63.34,mungbean
29,126,218,29.55,82.52,5.77,65.27,grapes
114,72,34,27.58,72.78,6.18,108.23,banana
59,52,45,22.35,70.55,6.01,91.34,tomato
104,15,30,23.18,71.13,5.93,146.92,coffee
58,61,67,12.36,20.56,6.25,69.42,chickpea
29,69,88,14.24,17.92,7.38,75.19,chickpea
44,73,20,28.19,47.75,6.67,71.67,groundnut
42,61,20,30.62,55.39,6.69,72.16,groundnut
55,60,41,13.91,59.66,7.1,71.92,barley
21,48,18,33.36,48.1,6.41,48.9,mothbeans
19,34,26,30.22,53.83,5.51,102.29,mango
73,17,38,24.42,84.0,7.01,197.52,jute
49,56,70,26.07,71.89,6.85,55.78,tomato
30,36,29,30.27,55.58,5.63,82.65,mango
19,5,40,27.21,94.12,5.8,142.17,coconut
19,43,18,29.74,92.06,6.25,50.99,mungbean
113,74,39,26.03,72.56,5.55,107.78,banana
13,43,21,24.41,77.53,5.65,57.21,mungbean
49,61,56,25.89,63.29,6.93,73.93,tomato
44,38,30,24.39,39.22,6.55,61.33,sunflower
13,12,10,27.02,92.49,7.14,104.94,orange
20,65,19,20.64,42.05,6.29,36.11,lentil
24,51,16,28.45,56.49,6.75,67.58,groundnut
25,121,199,21.37,91.52,5.64,100.42,apple
14,79,18,32.36,49.37,4.89,147.84,pigeonpeas
25,7,32,22.06,92.49,6.58,42.89,pomegranate
25,25,34,32.62,53.57,6.01,75.93,mango
141,42,5,23.39,80.67,5.95,100.01,cotton
45,43,66,24.36,65.38,6.02,85.65,tomato
11,30,28,33.67,64.91,4.73,89.51,mango
56,42,41,25.96,72.54,7.89,79.82,tomato
47,60,28,30.46,60.46,6.18,71.27,groundnut
116,75,63,26.68,78.78,6.02,97.5,banana
23,79,77,19.28,22.99,6.45,64.36,chickpea
14,69,21,30.87,43.67,6.02,102.7,pigeonpeas
87,60,34,15.63,60.75,6.85,89.66,maize
109,22,44,29.03,88.17,6.76,24.41,muskmelon
69,61,34,17.9,74.17,6.55,136.25,wheat
126,44,22,22.55,75.91,7.06,104.74,cotton
83,48,41,17.48,60.12,6.36,71.2,wheat
24,7,26,22.83,94.12,5.46,181.98,coconut
76,43,45,21.47,65.86,6.48,90.65,maize
98,32,28,26.17,44.56,6.72,182.84,coffee
58,58,50,21.15,64.26,5.76,78.22,potato
49,61,48,23.86,60.36,5.96,84.8,potato
38,58,16,28.43,63.6,6.63,53.89,groundnut
20,124,218,24.79,83.88,5.94,63.17,grapes
99,21,28,25.78,66.56,7.0,193.72,coffee
109,17,34,26.47,57.61,7.19,152.89,coffee
18,133,220,22.84,94.43,6.55,128.55,apple
16,78,16,25.58,50.61,6.41,127.17,pigeonpeas
51,38,51,28.78,69.83,6.21,36.33,onion
101,63,44,26.08,74.91,6.34,116.21,banana
23,70,22,28.0,53.32,6.96,124.3,pigeonpeas
29,9,36,23.84,86.57,6.16,49.99,pomegranate
49,75,79,16.75,10.0,6.57,103.67,chickpea
31,129,192,20.01,91.28,5.78,118.3,apple
73,59,16,24.27,58.88,7.24,79.2,wheat
22,13,12,19.94,91.24,7.23,121.11,orange
20,10,44,21.35,91.69,6.43,58.23,pomegranate
52,37,59,29.11,59.62,6.96,66.68,tomato
52,43,49,25.34,76.57,6.85,69.39,onion
70,45,39,23.64,63.33,6.02,84.12,maize
21,59,23,24.79,63.75,5.46,134.39,pigeonpeas
108,73,47,27.89,84.08,6.24,120.8,banana
55,38,35,25.17,53.77,5.67,65.55,tomato
64,60,34,13.77,47.55,7.04,74.39,wheat
68,69,40,15.06,54.99,6.5,89.07,barley
101,12,23,27.17,57.54,6.79,138.16,coffee
57,28,40,20.94,40.15,6.79,69.29,sunflower
19,130,183,16.22,94.18,6.29,117.01,apple
60,60,51,29.66,91.07,6.7,133.42,papaya
89,49,35,24.12,66.63,6.68,94.31,maize
89,17,30,23.3,70.97,5.3,144.43,coffee
110,14,57,33.43,95.64,6.44,22.35,muskmelon
19,12,20,26.16,89.69,5.65,196.05,coconut
62,37,38,26.49,76.72,6.82,190.27,jute
73,62,30,23.02,63.35,6.52,98.88,wheat
51,48,55,20.02,60.03,6.51,52.2,onion
35,61,22,32.89,57.64,7.88,77.67,blackgram
93,79,53,25.38,87.1,6.12,114.6,banana
21,14,30,29.27,92.27,5.9,217.11,coconut
47,60,16,32.87,68.98,6.59,73.81,blackgram
30,51,65,13.93,13.45,7.78,67.11,chickpea
50,50,53,20.13,69.34,6.77,88.77,potato
71,51,49,23.03,72.73,5.37,81.19,potato
52,37,50,16.49,71.02,6.28,65.42,onion
24,8,40,30.09,95.1,6.77,224.58,coconut
19,11,13,21.81,91.59,7.12,130.3,orange
18,12,44,21.43,89.16,7.25,49.33,pomegranate
106,58,29,23.3,78.15,7.24,88.26,cotton
23,130,206,18.95,93.87,6.82,107.41,apple
36,63,52,30.85,89.23,6.79,156.99,papaya
16,9,8,24.01,84.89,6.92,123.87,orange
42,70,19,25.73,70.06,7.3,50.58,blackgram
29,58,59,21.65,54.66,5.65,52.71,onion
29,57,20,21.09,83.19,7.58,47.69,mungbean
92,48,33,21.94,62.88,6.6,65.76,maize
48,56,60,24.87,60.38,6.24,39.2,onion
25,16,6,24.58,98.05,7.04,105.09,orange
33,11,28,26.89,93.74,6.05,179.07,coconut
19,7,32,28.82,97.82,6.38,176.66,coconut
62,60,31,15.93,53.61,7.09,74.46,barley
107,39,22,26.82,86.1,6.7,88.94,cotton
45,39,53,33.89,96.04,6.95,120.43,papaya
50,54,46,18.59,72.56,5.27,77.25,potato
61,45,42,18.9,47.39,6.71,71.61,sunflower
61,54,73,18.0,64.59,6.28,72.86,potato
41,54,18,26.27,53.9,6.56,58.25,sunflower
42,52,55,27.61,45.94,6.38,58.98,tomato
94,15,40,27.33,95.23,6.4,31.88,muskmelon
114,16,29,25.49,66.91,6.51,139.5,coffee
42,66,73,21.15,25.28,6.81,65.82,chickpea
18,64,19,31.66,41.39,5.54,150.73,pigeonpeas
117,34,21,25.65,83.63,7.14,75.93,cotton
48,55,26,25.93,58.53,6.38,61.93,groundnut
43,49,25,27.31,56.96,6.72,70.91,groundnut
46,55,13,29.6,50.62,7.22,67.96,groundnut
105,11,47,25.62,91.89,5.41,51.66,watermelon
40,57,26,29.08,51.73,6.18,64.27,groundnut
22,66,17,23.11,38.62,6.31,46.02,lentil
60,50,56,36.46,89.08,7.59,154.63,papaya
20,40,18,25.82,61.63,6.44,46.54,mothbeans
62,45,35,22.48,57.81,6.83,77.01,maize
27,117,221,17.56,78.58,5.95,79.12,grapes
21,135,220,20.5,93.6,5.48,146.69,apple
83,47,29,16.91,60.77,6.91,101.8,barley
84,53,41,24.02,64.03,5.59,86.86,maize
23,143,214,26.48,74.47,5.98,69.1,grapes
21,12,34,25.03,91.97,5.87,198.42,coconut
25,66,19,11.14,18.79,5.49,105.33,kidneybeans
53,43,32,24.54,48.22,6.17,45.32,sunflower
25,146,176,22.6,86.11,6.17,76.8,grapes
92,35,36,24.02,82.23,6.27,238.69,rice
96,19,47,24.73,100.0,6.21,10.0,muskmelon
78,40,30,26.33,85.72,7.2,180.0,jute
22,58,20,22.01,62.22,7.24,57.61,lentil
71,46,30,22.37,76.37,6.36,86.21,maize
56,46,52,24.94,49.83,6.02,70.06,tomato
53,66,47,21.51,86.79,5.72,80.83,potato
12,50,23,22.62,23.82,4.94,114.62,kidneybeans
37,60,25,29.13,71.44,7.57,84.34,blackgram
22,11,7,27.84,91.76,7.11,105.4,orange
15,48,19,19.62,22.51,5.65,129.5,kidneybeans
16,12,40,19.94,88.94,6.46,24.35,pomegranate
25,70,64,17.79,10.16,7.79,88.67,chickpea
82,41,31,22.06,76.59,7.34,246.45,rice
32,70,20,31.54,68.75,6.52,148.98,pigeonpeas
20,16,9,20.82,93.54,7.77,116.14,orange
99,20,47,28.81,87.47,6.12,19.58,muskmelon
89,20,53,27.55,94.26,6.19,44.67,watermelon
97,84,51,28.42,85.16,6.16,80.59,banana
28,70,17,28.18,54.41,7.7,57.11,blackgram
24,66,29,31.08,44.77,6.02,129.05,pigeonpeas
27,56,28,32.37,55.76,6.66,36.11,mothbeans
108,66,44,28.99,76.19,5.88,131.52,banana
17,52,13,28.55,87.26,7.18,42.29,mungbean
14,39,17,25.17,82.26,6.41,58.37,mungbean
49,67,16,29.08,65.87,6.72,86.92,blackgram
16,64,22,32.51,47.18,6.08,57.51,mothbeans
93,23,48,30.77,92.0,6.31,49.9,watermelon
48,68,77,34.35,88.06,6.57,162.51,papaya
109,56,10,19.18,77.56,7.08,103.88,cotton
72,45,41,15.59,86.96,6.73,93.35,maize
24,56,25,31.91,50.07,7.1,34.81,mothbeans
13,51,27,28.99,41.23,6.96,46.69,mothbeans
36,65,23,27.81,44.12,6.66,69.22,groundnut
47,40,53,20.35,58.96,6.81,51.02,onion
24,7,21,25.14,92.75,6.26,208.81,coconut
24,61,16,29.92,43.0,6.87,50.31,mothbeans
17,60,19,21.47,49.93,6.95,68.13,lentil
21,69,16,18.76,18.38,5.96,114.62,kidneybeans
121,37,18,22.97,77.86,7.8,73.4,cotton
66,59,44,22.66,57.76,5.31,64.69,potato
49,69,64,14.65,16.07,7.12,74.15,chickpea
23,68,19,16.1,51.86,6.42,28.1,lentil
79,38,36,24.14,77.7,6.31,250.19,rice
49,34,40,27.94,51.49,6.54,68.49,sunflower
17,68,22,27.7,49.54,6.25,125.38,pigeonpeas
20,70,20,13.74,51.28,7.91,46.4,lentil
21,131,236,21.55,92.2,7.0,74.03,grapes
92,67,46,27.15,85.97,5.46,93.6,banana
100,22,51,27.37,91.73,5.79,56.37,watermelon
21,30,28,34.04,44.32,4.74,93.64,mango
95,28,42,22.96,82.96,6.32,44.96,watermelon
15,64,16,19.35,29.71,6.3,133.53,kidneybeans
95,23,51,26.41,94.41,6.07,25.76,muskmelon
16,64,14,20.51,51.6,6.37,135.24,pigeonpeas
13,11,48,20.31,91.89,5.74,41.8,pomegranate
23,139,200,27.81,73.13,4.04,77.84,grapes
121,39,19,25.38,84.54,7.13,74.3,cotton
26,57,77,15.11,19.53,6.71,107.48,chickpea
12,23,7,24.51,92.77,6.88,105.65,orange
97,19,27,26.8,54.24,6.22,145.8,coffee
46,44,18,32.15,50.91,7.12,79.15,groundnut
25,140,196,26.52,81.8,5.95,77.59,grapes
54,68,81,20.08,10.65,7.68,78.03,chickpea
48,44,67,20.03,66.51,6.72,49.97,onion
93,27,51,27.99,84.01,6.98,63.01,watermelon
45,63,51,29.6,93.38,6.36,168.78,papaya
56,33,48,25.32,71.07,7.03,111.9,wheat
92,50,35,28.65,82.58,7.09,222.03,rice
15,64,21,34.28,37.9,6.7,149.46,pigeonpeas
12,57,21,13.6,58.1,6.72,82.43,lentil
112,19,38,29.1,92.73,6.16,29.59,muskmelon
74,44,41,19.66,74.96,6.14,213.6,rice
32,54,44,36.83,91.97,7.25,123.5,papaya
16,42,17,26.84,81.82,6.58,53.6,mungbean
81,44,37,27.6,83.4,6.02,172.17,jute
71,45,42,22.31,77.89,6.62,227.35,rice
28,60,33,36.56,42.51,7.31,53.83,mothbeans
16,68,18,15.54,11.75,6.43,129.25,kidneybeans
100,71,77,28.35,77.95,5.58,62.39,banana
95,26,30,28.86,65.9,6.18,161.02,coffee
26,57,18,21.43,16.68,6.31,104.16,kidneybeans
15,53,21,25.47,50.82,5.71,94.38,pigeonpeas
56,57,38,26.11,71.19,6.29,57.41,tomato
123,39,15,25.43,81.09,6.68,58.42,cotton
12,38,23,31.03,49.74,6.76,80.13,mango
88,48,48,23.21,95.6,6.81,194.29,rice
19,31,41,27.8,49.17,5.21,123.88,mango
52,42,64,23.39,58.86,6.06,78.8,potato
74,49,48,17.49,66.78,6.43,106.29,maize
135,32,27,23.24,74.26,6.9,69.16,cotton
35,52,14,29.36,67.31,7.28,72.41,blackgram
126,53,26,22.76,75.28,6.98,66.91,cotton
69,75,31,17.42,47.59,7.22,66.22,barley
114,76,50,30.27,72.84,5.49,67.68,banana
100,25,43,29.0,86.87,6.16,58.19,watermelon
15,8,31,22.12,87.68,6.89,46.4,pomegranate
115,22,29,23.22,59.29,6.4,134.83,coffee
48,28,33,21.71,40.14,6.68,62.8,sunflower
88,42,43,27.54,84.4,6.35,206.02,jute
50,30,40,23.57,48.63,6.33,57.88,sunflower
74,50,38,17.67,48.93,5.92,71.69,maize
16,81,23,23.31,24.46,5.0,125.92,kidneybeans
81,49,30,22.97,56.75,6.79,83.03,maize
56,42,51,17.95,68.19,6.53,49.13,onion
17,68,18,13.98,46.89,6.65,56.34,lentil
101,71,50,27.3,77.11,5.64,91.03,banana
25,62,21,36.19,65.95,7.33,68.05,blackgram
147,49,23,27.52,80.09,7.32,90.77,cotton
104,19,50,30.79,90.02,6.17,24.9,muskmelon
57,46,37,13.85,60.46,7.59,71.3,barley
70,53,54,22.02,64.97,5.92,96.01,potato
24,11,34,22.75,93.15,6.09,44.43,pomegranate
70,49,39,16.88,53.12,6.69,69.64,barley
102,55,48,26.59,73.18,5.63,116.19,banana
20,147,196,18.99,90.92,5.35,131.51,apple
44,58,46,37.62,90.57,6.48,188.85,papaya
39,45,28,31.6,44.72,6.36,62.64,groundnut
43,57,55,32.97,95.24,6.4,124.96,papaya
26,62,24,32.91,60.49,5.34,124.93,pigeonpeas
18,13,9,24.01,87.78,6.78,108.54,orange
12,17,11,23.7,87.51,7.0,109.88,orange
31,129,217,25.4,93.29,6.25,116.34,apple
19,9,34,20.52,89.08,6.5,43.93,pomegranate
28,9,11,29.44,94.28,7.33,118.82,orange
18,35,24,25.49,84.71,6.68,52.0,mungbean
44,32,34,20.89,51.43,6.47,73.6,sunflower
104,22,51,33.0,91.46,6.65,31.44,muskmelon
38,52,21,29.35,57.93,7.59,63.78,blackgram
15,78,23,18.34,58.01,6.55,42.18,lentil
44,58,60,35.49,88.76,6.39,138.01,papaya
107,18,48,25.59,86.89,6.32,47.3,watermelon
98,12,27,25.76,55.74,6.51,174.8,coffee
24,124,192,22.09,92.34,5.77,105.9,apple
16,13,37,19.6,90.96,6.45,42.95,pomegranate
25,43,19,32.53,39.59,5.23,47.73,mothbeans
67,61,52,21.25,61.27,5.7,90.75,potato
38,70,54,36.36,93.77,6.87,179.21,papaya
28,60,15,25.49,42.03,6.17,57.53,mothbeans
30,8,24,27.59,97.15,6.46,155.96,coconut
58,40,37,25.74,64.78,6.58,73.28,tomato
65,54,39,28.77,95.23,6.66,144.93,papaya
29,48,19,28.64,33.63,6.33,57.33,mothbeans
11,40,21,33.15,84.51,6.63,59.52,mungbean
20,6,36,22.62,93.99,6.33,48.27,pomegranate
95,19,60,28.6,90.91,6.14,40.39,watermelon
54,65,54,16.16,56.9,6.91,106.69,wheat
22,5,23,31.11,96.38,5.63,190.46,coconut
15,9,48,21.19,95.31,7.22,34.21,pomegranate
17,10,29,30.34,96.49,5.08,148.38,coconut
17,74,28,26.79,55.45,5.31,145.09,pigeonpeas
51,56,81,14.71,14.06,6.67,65.88,chickpea
100,15,46,21.78,90.31,6.92,39.03,watermelon
31,68,18,33.81,67.95,6.51,84.25,blackgram
109,30,52,27.8,94.15,6.39,51.82,watermelon
51,64,59,16.92,16.68,6.6,67.27,chickpea
81,67,24,26.73,74.29,6.02,67.5,banana
56,61,31,18.0,58.7,6.31,69.84,barley
64,40,32,12.99,56.66,7.03,69.17,barley
81,34,40,20.4,85.68,5.83,201.76,jute
23,68,21,29.94,44.14,7.05,69.6,mothbeans
104,25,28,26.31,64.52,6.94,160.79,coffee
68,58,34,24.01,57.5,5.42,102.27,maize
45,50,58,23.43,60.27,6.95,58.81,onion
14,61,13,20.12,14.89,6.03,106.13,kidneybeans
79,37,43,26.21,78.36,6.84,228.72,jute
40,63,30,27.02,58.28,6.7,70.32,blackgram
25,14,14,27.22,89.79,7.22,168.3,coconut
104,13,49,27.89,90.42,5.99,22.71,muskmelon
77,64,43,20.63,60.78,6.43,75.02,maize
101,8,49,28.69,91.74,6.17,17.43,muskmelon
49,39,49,22.87,60.0,6.58,54.67,tomato
35,72,83,15.88,13.44,6.96,61.55,chickpea
103,17,58,30.91,93.24,6.42,30.26,muskmelon
25,144,173,21.8,79.24,5.81,82.4,grapes
48,51,59,28.16,72.25,6.34,66.72,tomato
88,41,40,22.57,84.39,6.67,251.13,rice
23,123,198,19.37,81.62,6.75,68.89,grapes
111,17,34,29.12,51.46,6.65,214.98,coffee
15,29,18,27.32,88.58,5.94,34.8,mungbean
12,55,17,21.89,50.38,5.85,96.54,pigeonpeas
84,36,41,17.01,72.23,6.76,73.64,maize
29,52,18,23.72,86.97,6.83,43.68,mungbean
84,42,37,23.52,72.42,7.58,95.89,maize
26,52,14,23.54,25.66,6.43,132.01,kidneybeans
30,129,202,21.26,93.71,5.66,124.91,apple
30,64,19,21.03,28.22,5.41,110.22,kidneybeans
34,75,85,23.55,16.12,7.27,76.47,chickpea
48,78,84,19.08,25.81,7.0,57.27,chickpea
21,65,12,32.07,45.11,6.3,98.74,pigeonpeas
48,60,58,33.66,92.05,6.56,158.61,papaya
19,6,31,22.15,93.43,7.06,41.11,pomegranate
85,15,40,29.24,88.66,6.57,23.51,muskmelon
47,68,19,28.82,64.93,6.84,50.37,groundnut
44,37,35,21.46,72.16,7.09,62.28,onion
17,73,21,25.05,49.95,6.47,126.23,pigeonpeas
14,9,33,27.83,93.84,6.1,182.68,coconut
22,4,25,26.41,95.62,5.8,154.07,coconut
97,67,71,27.48,75.75,6.35,115.38,banana
21,47,16,27.86,78.83,7.06,36.44,mungbean
66,49,36,21.02,65.72,6.48,92.45,barley
67,49,42,19.89,64.85,6.04,77.57,potato
65,49,59,17.07,57.08,6.61,52.14,onion
22,133,186,20.16,88.21,6.36,75.66,grapes
52,42,32,21.3,42.32,6.92,42.59,sunflower
81,49,40,21.85,52.59,6.83,76.41,maize
35,56,17,30.2,57.77,6.78,53.4,groundnut
103,25,48,21.99,92.45,6.73,50.72,watermelon
95,12,48,26.78,97.55,5.93,25.82,muskmelon
20,147,205,25.43,80.75,6.15,77.8,grapes
70,43,40,22.49,74.25,6.53,188.13,rice
17,50,18,31.62,37.78,5.37,132.53,pigeonpeas
13,49,22,27.36,53.04,6.41,135.31,pigeonpeas
52,67,45,32.63,94.38,6.9,131.88,papaya
67,58,50,19.89,72.76,5.81,89.86,potato
24,27,28,38.44,49.25,6.38,93.98,mango
25,134,185,28.41,90.99,5.85,104.8,apple
96,13,31,28.77,56.18,6.84,173.91,coffee
43,36,51,21.95,58.06,6.05,77.22,onion
21,61,16,21.82,18.22,5.75,141.7,kidneybeans
38,32,38,19.16,62.88,7.09,73.33,sunflower
61,68,56,35.64,90.92,6.22,145.98,papaya
39,56,25,28.53,56.52,6.79,76.19,blackgram
17,12,41,29.76,90.97,6.43,163.42,coconut
22,13,10,23.33,92.45,7.62,124.53,orange
28,7,38,30.25,89.15,6.05,170.01,coconut
13,71,23,29.15,42.04,6.15,106.34,pigeonpeas
39,55,18,35.99,70.0,6.55,58.92,groundnut
102,23,53,22.9,92.6,6.67,39.29,watermelon
52,51,60,25.65,91.74,7.26,122.72,papaya
94,20,44,28.68,91.7,6.49,21.32,muskmelon
76,46,27,23.54,61.27,5.62,46.92,maize
5,56,14,27.23,45.7,6.48,92.81,pigeonpeas
66,84,40,15.06,62.37,7.19,86.3,barley
108,16,46,25.79,91.83,6.37,26.65,muskmelon
71,54,36,16.07,59.38,6.53,96.71,barley
86,44,41,24.04,82.49,6.11,220.74,rice
55,52,60,22.46,66.14,7.09,67.88,onion
19,51,19,19.85,22.8,6.13,104.41,kidneybeans
26,148,201,23.79,89.07,6.38,102.1,apple
66,54,58,27.4,66.45,5.75,67.38,tomato
109,82,56,25.74,76.47,5.48,101.68,banana
94,17,54,30.87,87.92,5.97,56.31,watermelon
71,43,42,20.61,46.02,6.63,95.26,barley
15,58,16,23.15,86.9,6.17,53.21,mungbean
90,73,52,26.45,82.93,6.11,136.65,banana
91,14,30,25.96,55.63,6.89,169.31,coffee
29,115,190,21.64,96.1,5.98,116.75,apple
20,17,42,21.36,87.3,5.78,30.09,pomegranate
17,66,24,29.5,42.97,6.45,117.25,pigeonpeas
39,32,41,24.06,45.57,6.86,68.88,sunflower
17,11,35,27.42,92.6,6.23,169.95,coconut
24,9,17,27.57,86.95,6.72,122.24,orange
59,55,34,28.17,85.15,7.03,170.22,jute
38,51,27,35.04,59.7,7.06,63.2,blackgram
25,119,205,23.17,87.23,6.39,70.04,grapes
18,35,32,33.02,48.97,5.77,96.05,mango
131,49,10,24.83,76.14,7.44,58.32,cotton
79,35,19,20.8,49.06,6.71,76.6,wheat
18,55,20,29.98,93.83,6.92,50.93,mungbean
61,71,30,18.93,65.07,6.97,96.29,wheat
74,45,34,22.67,83.89,6.88,192.34,rice
43,64,23,31.0,82.61,6.59,52.89,blackgram
18,12,21,28.25,100.0,6.28,195.95,coconut
102,24,27,21.46,64.68,6.03,132.23,coffee
66,59,40,16.23,60.94,7.19,61.44,barley
23,76,24,28.75,48.15,5.65,159.42,pigeonpeas
35,64,16,27.43,57.59,6.1,51.88,groundnut
68,51,49,15.55,62.95,6.64,100.57,wheat
57,45,40,15.85,55.26,6.7,76.54,barley
62,50,37,21.97,85.06,7.02,247.94,rice
59,46,48,25.52,62.18,6.53,66.25,tomato
20,41,21,27.35,80.3,7.03,59.29,mungbean
36,51,26,22.64,46.93,6.4,49.4,groundnut
39,68,29,25.68,63.65,6.05,71.93,blackgram
19,131,167,26.93,85.3,6.37,71.05,grapes
51,53,47,16.06,56.85,6.5,70.75,barley
17,36,25,26.51,78.66,6.43,50.68,mungbean
23,76,29,30.53,59.3,5.65,106.87,pigeonpeas
62,51,42,17.01,57.53,7.19,56.97,barley
46,42,41,23.37,64.58,7.04,65.23,sunflower
28,69,8,22.05,59.22,6.71,58.62,groundnut
57,48,47,15.01,80.74,5.89,95.5,potato
14,26,28,26.77,44.48,5.71,98.28,mango
28,61,22,18.12,28.43,5.67,124.16,kidneybeans
86,46,38,16.25,51.88,6.54,75.52,wheat
45,70,66,15.12,16.39,7.04,58.05,chickpea
40,56,93,23.69,17.78,7.41,77.63,chickpea
68,57,47,15.64,49.35,6.07,110.16,wheat
40,45,37,19.0,39.98,6.41,47.96,sunflower
23,30,37,29.63,55.54,5.66,117.86,mango
58,28,43,25.48,59.95,7.14,101.64,wheat
35,66,20,29.97,70.27,7.19,84.47,blackgram
27,23,33,36.3,38.98,5.63,117.13,mango
23,8,29,23.6,89.75,6.52,50.88,pomegranate
83,28,46,26.65,86.93,7.34,189.05,jute
32,48,17,36.47,78.41,6.51,51.8,mungbean
26,70,25,20.87,22.16,6.24,130.98,kidneybeans
20,137,202,14.91,84.14,6.2,75.2,grapes
63,44,57,22.13,56.77,6.81,40.38,onion
103,79,53,30.25,81.18,5.85,81.68,banana
70,29,33,25.3,78.71,5.59,97.45,maize
43,50,88,18.76,23.92,7.18,91.52,chickpea
29,131,199,21.24,91.37,6.3,115.51,apple
64,42,49,24.43,69.05,6.07,70.9,tomato
24,53,22,29.86,34.71,6.06,120.63,pigeonpeas
50,56,57,19.73,61.57,5.96,87.18,potato
90,23,27,24.84,56.77,6.09,174.48,coffee
80,61,41,26.29,86.75,6.69,205.88,jute
16,47,28,29.49,48.64,6.88,56.96,mothbeans
88,44,41,26.73,85.36,7.19,192.28,jute
27,12,34,29.23,94.72,5.07,178.19,coconut
25,53,23,22.11,31.26,5.59,103.54,kidneybeans
85,44,36,17.15,49.24,6.43,79.92,wheat
84,46,43,28.57,80.83,6.38,267.38,rice
22,30,35,27.74,64.02,4.55,88.47,mango
76,48,40,23.78,44.42,6.53,92.92,maize
40,39,25,21.4,40.01,6.6,53.21,sunflower
21,32,33,31.49,60.82,4.62,130.78,mango
40,43,52,24.18,42.35,6.51,52.74,onion
50,74,40,29.28,88.64,7.28,185.12,papaya
51,42,42,25.04,59.24,6.54,66.2,tomato
20,56,12,21.41,31.86,6.03,129.14,kidneybeans
19,46,21,25.35,85.66,6.35,36.8,mungbean
80,77,46,27.63,82.92,6.51,69.86,banana
60,65,53,35.85,90.8,6.78,131.95,papaya
96,70,52,25.84,82.0,5.47,95.22,banana
76,23,28,24.56,57.48,6.62,144.95,coffee
123,51,19,23.2,88.32,7.22,101.77,cotton
18,51,28,30.04,38.11,7.13,57.31,mothbeans
57,57,32,14.78,47.03,7.26,92.88,barley
17,17,8,19.98,90.58,6.57,114.01,orange
15,9,33,14.29,93.08,6.5,55.98,pomegranate
22,50,19,20.43,56.8,7.15,55.83,lentil
30,123,185,21.08,89.1,6.28,92.57,apple
101,13,50,27.16,89.38,6.79,50.99,watermelon
70,62,40,16.06,60.38,7.24,74.69,barley
21,15,8,23.51,92.22,7.98,114.52,orange
86,47,30,18.87,51.24,7.23,73.45,maize
24,7,31,25.16,99.55,5.21,210.81,coconut
21,27,37,34.91,39.64,5.21,108.68,mango
46,62,18,29.88,65.12,6.68,75.79,blackgram
80,22,44,23.89,76.37,6.47,168.6,jute
69,56,31,19.15,61.33,7.0,105.78,wheat
66,44,39,24.86,68.59,6.56,97.74,maize
29,60,26,30.45,63.24,6.75,78.99,blackgram
23,28,30,31.19,50.65,6.04,104.01,mango
18,61,18,24.8,56.42,7.23,35.84,lentil
9,17,6,24.98,91.06,7.26,113.42,orange
119,46,9,22.74,85.02,6.83,68.94,cotton
49,33,47,23.58,42.45,5.91,72.53,sunflower
30,139,199,19.98,77.01,6.14,78.42,grapes
95,13,46,25.28,91.07,6.6,41.72,watermelon
14,10,28,30.36,97.78,5.68,189.32,coconut
59,51,44,14.82,76.57,5.06,79.93,potato
109,37,25,18.52,88.09,6.86,68.41,cotton
21,63,24,27.65,46.92,6.32,147.52,pigeonpeas
71,47,25,22.64,65.01,5.79,99.89,maize
76,24,58,24.7,89.15,6.3,199.93,jute
68,45,32,19.38,45.48,7.66,66.49,barley
15,25,31,31.54,53.47,6.68,92.38,mango
122,44,13,26.61,83.72,6.73,90.61,cotton
72,47,33,22.34,76.01,7.48,221.06,rice
60,39,48,20.43,64.57,7.29,47.6,onion
21,45,19,20.54,83.89,6.89,43.69,mungbean
129,45,30,22.69,75.5,7.17,69.88,cotton
108,20,56,22.82,91.52,6.29,22.76,muskmelon
75,37,39,21.77,63.74,7.8,94.48,maize
7,60,28,18.25,40.61,6.7,70.68,lentil
106,14,26,27.51,55.5,7.06,169.49,coffee
24,27,33,30.69,58.57,5.95,89.81,mango
25,130,185,25.31,88.98,6.22,75.31,grapes
50,56,50,34.36,89.13,6.64,151.55,papaya
14,62,14,18.4,24.5,5.31,144.08,kidneybeans
23,40,14,22.61,73.88,6.29,46.99,mungbean
104,21,40,24.82,88.51,5.79,40.19,watermelon
68,69,42,18.37,55.67,7.56,86.15,barley
97,76,42,27.21,80.75,5.4,119.91,banana
126,42,29,26.23,86.23,6.77,95.87,cotton
60,55,50,18.04,68.9,5.93,79.91,potato
48,57,18,29.98,53.94,6.53,39.8,groundnut
23,15,38,26.54,96.42,5.84,231.37,coconut
20,41,32,33.76,41.77,6.64,54.17,mothbeans
86,52,38,24.98,75.74,6.96,214.45,rice
90,15,48,24.5,96.41,5.87,35.77,muskmelon
